country,count
United States,6760
China,2057
Germany,1010
Ireland,575
Russia,413
Singapore,406
France,395
United Kingdom,310
India,309
Canada,290
Japan,236
Netherlands,221
Spain,215
Australia,211
"Korea, Republic of",198
Taiwan,170
Brazil,170
Greece,153
Italy,129
South Korea,120
Argentina,118
Mexico,86
Poland,79
Russian Federation,75
Switzerland,73
Hong Kong,73
Indonesia,68
Finland,49
Turkey,47
Vietnam,47
Belgium,44
Thailand,34
Sweden,34
Europe,34
Romania,32
Belarus,32
Asia/Pacific Region,32
Austria,29
South Africa,29
Norway,28
Ukraine,26
Hungary,26
Chile,26
Portugal,23
Denmark,23
Colombia,22
Kazakhstan,20
Malaysia,19
Czechia,19
Saudi Arabia,18
Israel,17
Czech Republic,15
United Arab Emirates,15
"Iran, Islamic Republic of",15
Uzbekistan,14
Iran,13
Philippines,12
Estonia,11
Croatia,11
Ecuador,10
Morocco,9
Serbia,8
Egypt,7
Pakistan,7
Bulgaria,6
Republic of Lithuania,6
Peru,6
New Zealand,5
Kenya,5
Nepal,4
Slovakia,4
Dominican Republic,4
Costa Rica,4
Panama,3
Venezuela,3
Macau,3
Bolivia,3
Lebanon,3
Latvia,3
Republic of Moldova,3
Slovenia,3
El Salvador,2
Bangladesh,2
Armenia,2
Nicaragua,2
Luxembourg,2
Palestine,2
Botswana,2
Bahrain,2
Namibia,1
Lithuania,1
Somalia,1
Puerto Rico,1
Bahamas,1
Myanmar,1
Åland,1
Cameroon,1
Georgia,1
Iceland,1
Qatar,1
Hashemite Kingdom of Jordan,1
Oman,1
Samoa,1
Seychelles,1
Brunei,1
Bosnia and Herzegovina,1
Montenegro,1
U.S. Virgin Islands,1
Ghana,1
Zimbabwe,1
Tunisia,1
"Moldova, Republic of",1
Nigeria,1
Guam,1
Palestinian Territory,1
Reunion,1
Lao People's Democratic Republic,1
Ethiopia,1
Cuba,1
Algeria,1
Haiti,1
