organization,count
Amazon.com,1940
AMAZON-02,1015
"Hangzhou Alibaba Advertising Co.,Ltd.",525
Google Cloud,521
AMAZON-AES,486
Microsoft Azure,246
Tencent cloud computing,200
ACS-INTERNET,182
DTAG Internet service provider operations,125
Digital Ocean,119
DIGITALOCEAN-ASN,116
Amazon,115
Hosted VM's for OKEANOS project,107
GOOGLE,104
MICROSOFT-CORP-MSN-AS-BLOCK,103
Disenadores Tecnologicos Alcalainos Sl,95
"CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd.",78
Huawei Cloud Service data center,67
China Unicom Beijing,66
OVH,65
SoftLayer Technologies,64
Hetzner Online GmbH,61
Linode,54
METALINK,49
Beijing Baidu Netcom Science and Technology Co.,49
OVH SAS,48
China Telecom,37
HETZNER-AS,34
COMCAST-7922,33
"Disenadores Informaticos Y Tecnologicos, S.l.",33
ADDIX-AS AS-ADDIX Autonomous System,31
CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited,29
Alibaba,29
THEFIRST-AS,28
China Telecom Shanghai,28
"LINODE-AP Linode, LLC",26
Korea Telecom,26
Oracle Public Cloud,26
EQUINIX-CONNECT-EMEA,24
BELNET LTD,24
WIGHT-AS,23
DITECAL,23
Magna Hosting,22
China Unicom Liaoning,22
Marist College,19
China Telecom Guangdong,19
KIXS-AS-KR Korea Telecom,18
MCCORMACK-NETWORKS,18
RACKSPACE,17
AS-CHOOPA,17
Contabo GmbH,17
NEW-HOPE-TELEPHONE-COOPERATIVE,16
Ningxia West Cloud Data Technology Co.Ltd.,16
SWISSCOM Swisscom (Switzerland) Ltd,15
VODANET International IP-Backbone of Vodafone,15
LGI-UPC formerly known as UPC Broadband Holding B.V.,14
"Choopa, LLC",14
OVH Hosting,14
"CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd.",13
TROYCABLE-NET,13
HiNet,13
Online SAS,12
"JCN Jupiter Telecommunications Co., Ltd.",12
EBOX,12
GOOGLE-2,11
QTS-SJC,11
CONTABO,10
WEHOSTWEBSITES-COM,10
BT-UK-AS BTnet UK Regional network,10
Uninet S.A. de C.V.,10
GTSCE GTS Central Europe / Antel Germany,10
HOSTWINDS,10
JTCL-JP-AS Jupiter Telecommunication Co. Ltd,9
ROSTELECOM-AS,9
Korea Advanced Institute of Science and Technology,9
ONLINE SAS,9
SKB-AS SK Broadband Co Ltd,8
UUNET,8
VERSATEL,8
AS-REG,8
China Telecom Beijing,8
