country,count
United States,2095
China,524
Germany,355
Russia,260
France,166
United Kingdom,134
India,133
Singapore,129
Ireland,113
Canada,104
Argentina,104
Brazil,94
Japan,90
Taiwan,88
Australia,85
Netherlands,84
Italy,64
Mexico,58
Poland,46
"Korea, Republic of",43
South Korea,41
Indonesia,35
Russian Federation,29
Spain,29
Switzerland,24
Turkey,24
Hong Kong,24
Belarus,21
Greece,18
Ukraine,18
Vietnam,18
Austria,15
Finland,15
Chile,15
Sweden,14
Romania,14
Kazakhstan,12
Portugal,11
Hungary,11
Colombia,11
South Africa,10
"Iran, Islamic Republic of",10
Czechia,10
Europe,9
Norway,9
Thailand,8
Denmark,7
Saudi Arabia,7
Estonia,6
Uzbekistan,6
Belgium,6
Israel,6
United Arab Emirates,5
Malaysia,5
Republic of Lithuania,5
Czech Republic,4
Bulgaria,4
Nepal,3
Asia/Pacific Region,3
Macau,3
Slovakia,3
Bolivia,3
Philippines,3
Panama,2
El Salvador,2
Venezuela,2
Armenia,2
Ecuador,2
Morocco,2
Nicaragua,2
Costa Rica,2
Pakistan,2
New Zealand,2
Kenya,2
Namibia,1
Bangladesh,1
Lithuania,1
Somalia,1
Egypt,1
Dominican Republic,1
Serbia,1
Puerto Rico,1
Lebanon,1
Bahamas,1
Myanmar,1
Åland,1
Luxembourg,1
Cameroon,1
Latvia,1
Georgia,1
Iran,1
Croatia,1
Iceland,1
Qatar,1
Palestine,1
Hashemite Kingdom of Jordan,1
Oman,1
Samoa,1
Republic of Moldova,1
Seychelles,1
Peru,1
Brunei,1
Slovenia,1
