vendor,count
ResponsiveVoice,1153
predict.js,1005
natural.js,965
ml.js,509
Speech.js,227
annyang,205
Google Brain,197
American Megatrends,181
Apache,177
Face-api.js,157
OpenCV,104
dictate.js,76
ml5.js,56
Berkeley Vision and Learning Center,53
Clmtrackr,48
NVIDIA Corporation,47
brain.js,45
JQuery,45
Elasticsearch,28
MongoDB,20
SpeechKITT,16
artyom.js,14
FaceDetector.js,9
neuro.js,7
deeplearn.js,7
Keras,5
Inference Solutions,5
clusterfck.js,3
convnet.js,3
figue.js,3
synaptic.js,2
Docker,1
