bulletinFamily,description,modified,id,published,href,title,type,cvss,enchantments
NVD,"In Apache httpd 2.2.0 to 2.4.29, when generating an HTTP Digest authentication challenge, the nonce sent to prevent reply attacks was not correctly generated using a pseudo-random seed. In a cluster of servers using a common Digest authentication configuration, HTTP requests could be replayed across servers by an attacker without detection.",2019-07-29T19:15:00,CVE-2018-1312,2018-03-26T15:29:00,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-1312,CVE-2018-1312,cve,"{'score': 6.8, 'vector': 'AV:N/AC:M/Au:N/C:P/I:P/A:P'}",{'vulnersScore': 'PENDING'}
NVD,"In Apache HTTP Server 2.4.0-2.4.39, a limited cross-site scripting issue was reported affecting the mod_proxy error page. An attacker could cause the link on the error page to be malformed and instead point to a page of their choice. This would only be exploitable where a server was set up with proxying enabled but was misconfigured in such a way that the Proxy Error page was displayed.",2019-09-30T23:15:00,CVE-2019-10092,2019-09-26T16:15:00,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-10092,CVE-2019-10092,cve,"{'score': 4.3, 'vector': 'AV:N/AC:M/Au:N/C:N/I:P/A:N'}",{'vulnersScore': 'PENDING'}
NVD,"In Apache HTTP server 2.4.0 to 2.4.39, Redirects configured with mod_rewrite that were intended to be self-referential might be fooled by encoded newlines and redirect instead to an unexpected URL within the request URL.",2019-10-09T23:44:00,CVE-2019-10098,2019-09-25T17:15:00,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-10098,CVE-2019-10098,cve,"{'score': 5.8, 'vector': 'AV:N/AC:M/Au:N/C:P/I:P/A:N'}",{'vulnersScore': 'PENDING'}
NVD,"A vulnerability was found in Apache HTTP Server 2.4.0 to 2.4.38. When the path component of a request URL contains multiple consecutive slashes ('/'), directives such as LocationMatch and RewriteRule must account for duplicates in regular expressions while other aspects of the servers processing will implicitly collapse them.",2019-06-25T10:15:00,CVE-2019-0220,2019-06-11T21:29:00,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-0220,CVE-2019-0220,cve,"{'score': 5.0, 'vector': 'AV:N/AC:L/Au:N/C:P/I:N/A:N'}",{'vulnersScore': 'PENDING'}
NVD,"In Apache HTTP Server 2.4 release 2.4.37 and prior, mod_session checks the session expiry time before decoding the session. This causes session expiry time to be ignored for mod_session_cookie sessions since the expiry time is loaded when the session is decoded.",2019-07-23T23:15:00,CVE-2018-17199,2019-01-30T22:29:00,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-17199,CVE-2018-17199,cve,"{'score': 5.0, 'vector': 'AV:N/AC:L/Au:N/C:N/I:P/A:N'}",{'vulnersScore': 'PENDING'}
NVD,"In Apache httpd 2.4.0 to 2.4.29, the expression specified in <FilesMatch> could match '$' to a newline character in a malicious filename, rather than matching only the end of the filename. This could be exploited in environments where uploads of some files are are externally blocked, but only by matching the trailing portion of the filename.",2019-08-15T09:15:00,CVE-2017-15715,2018-03-26T15:29:00,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2017-15715,CVE-2017-15715,cve,"{'score': 6.8, 'vector': 'AV:N/AC:M/Au:N/C:P/I:P/A:P'}",{'vulnersScore': 'PENDING'}
NVD,"In Apache httpd 2.0.23 to 2.0.65, 2.2.0 to 2.2.34, and 2.4.0 to 2.4.29, mod_authnz_ldap, if configured with AuthLDAPCharsetConfig, uses the Accept-Language header value to lookup the right charset encoding when verifying the user's credentials. If the header value is not present in the charset conversion table, a fallback mechanism is used to truncate it to a two characters value to allow a quick retry (for example, 'en-US' is truncated to 'en'). A header value of less than two characters forces an out of bound write of one NUL byte to a memory location that is not part of the string. In the worst case, quite unlikely, the process would crash which could be used as a Denial of Service attack. In the more likely case, this memory is already reserved for future use and the issue has no effect at all.",2019-08-15T09:15:00,CVE-2017-15710,2018-03-26T15:29:00,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2017-15710,CVE-2017-15710,cve,"{'score': 5.0, 'vector': 'AV:N/AC:L/Au:N/C:N/I:N/A:P'}",{'vulnersScore': 'PENDING'}
NVD,"In Apache httpd 2.4.0 to 2.4.29, when mod_session is configured to forward its session data to CGI applications (SessionEnv on, not the default), a remote user may influence their content by using a ""Session"" header. This comes from the ""HTTP_SESSION"" variable name used by mod_session to forward its data to CGIs, since the prefix ""HTTP_"" is also used by the Apache HTTP Server to pass HTTP header fields, per CGI specifications.",2019-08-15T09:15:00,CVE-2018-1283,2018-03-26T15:29:00,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-1283,CVE-2018-1283,cve,"{'score': 3.5, 'vector': 'AV:N/AC:M/Au:S/C:N/I:P/A:N'}",{'vulnersScore': 'PENDING'}
NVD,"In Apache httpd 2.2.x before 2.2.33 and 2.4.x before 2.4.26, mod_mime can read one byte past the end of a buffer when sending a malicious Content-Type response header.",2019-02-07T11:29:00,CVE-2017-7679,2017-06-20T01:29:00,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2017-7679,CVE-2017-7679,cve,"{'score': 7.5, 'vector': 'AV:N/AC:L/Au:N/C:P/I:P/A:P'}",{'vulnersScore': 'PENDING'}
NVD,Apache HTTP Server mod_cluster before version httpd 2.4.23 is vulnerable to an Improper Input Validation in the protocol parsing logic in the load balancer resulting in a Segmentation Fault in the serving httpd process.,2019-10-09T23:20:00,CVE-2016-8612,2018-03-09T20:29:00,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2016-8612,CVE-2016-8612,cve,"{'score': 3.3, 'vector': 'AV:A/AC:L/Au:N/C:N/I:N/A:P'}",{'vulnersScore': 'PENDING'}
